tweetId,noteId,full_text,summary,rating
1.8524E+18,1.8524E+18,"REMINDER: Kamala Harris has repeatedly stated that she does not believe that illegal immigrants are criminals.

Vote to secure the border in this election 
 https://t.co/ScsPSXUYAP",This account is operated by Elon Musk and is not associated with the American government.    The real government of the USA's twitter account is @USAGov    https://x.com/usagov,R
1.81763E+18,1.81795E+18,@DonaldJTrumpJr You have to be this much of a weirdo. https://t.co/5WVa1wJcbg,NNN clearly a response to a claim when both sides of politics believed the original hoax claim ,L
1.78535E+18,1.78566E+18,"Israel is fighting Hamas, not the Palestinian people. https://t.co/BuHp9DOsRF",Israel has killed over 20000 Palestinians.    https://www.bbc.co.uk/news/world-middle-east-67764664.amp    https://www.aljazeera.com/news/2024/1/21/gaza-death-toll-surpasses-25000-as-israel-escalates-assault,R
1.70486E+18,1.7051E+18,"Russian Security Council Secretary Nikolay Patrushev has accused the Anglo-Saxons of unleashing genocide against the Russian-speaking population in Ukraine:
https://t.co/3kJDqEQC0p https://t.co/f2xoIH1NaJ","Ukraine brought a case before the International Court of Justice re Russia's military activities in Ukraine. During proceedings, the ICJ found no evidence to support Russia’s accusation of genocide, and subsequently ordered Russia to &quot;immediately suspend military operations.&quot;   https://www.icj-cij.org/public/files/case-related/182/182-20220316-ORD-01-00-EN.pdf ",R
1.85127E+18,1.8513E+18,"BREAKING: The Republican responsible for setting fire to Arizona ballot drop boxes has been caught. 

He’s the one behind burning ballots, trying to sabotage the voting process. 

Looks like his little plan backfired, and now he's going to face the consequences. https://t.co/nspQNZzs4o","NNN - Tweet refers to crimes in Arizona, not in Portland &amp; Washington. Proposed CN links information from Portland Police Bureau, which is irrelevant. ",L
1.83063E+18,1.83075E+18,"The reason the Democratic Party is so soft on criminals is that criminals vote overwhelmingly Democrat – they don’t want to offend their customers!

Democrat Party is literally the party of criminals.",Evidence from Doleac et al. finds that individuals with felony convictions in North Carolina register with the Democratic and Republican parties at similar rates. There is no evidence that individuals with felony convictions vote overwhelmingly Democratic. See Appendix A.4 https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4031676,R
1.76177E+18,1.7618E+18,Trump is Putin. Putin is Trump. Beating Trump this fall means beating Putin. https://t.co/2uUQaHVBLI,NNN. People even with average intelligence know the two are NOT the same as the simple laws of physics have shown two things cannot occupy the same space simultaneously. STOP ABUSING CN TO OWN DEMS.  This is why no one takes CN seriously.,L
1.82998E+18,1.83004E+18,"Yet another Republican, Minnesota's former Governor Arne Carlson, endorses @KamalaHarris.
https://t.co/9iHR1bE3gk","Arne Caflson endorsed Obama in 2008, Clinton in 2016, and Biden in 2020.    https://en.m.wikipedia.org/wiki/Arne_Carlson",L
1.95157E+18,1.95173E+18,"Oh great, the UN's Monusco mission needs more time to bring peace to the DRC 🙄. Because, clearly, 20+ years isn't enough 🤦‍♂️

They're working on peace! The peace they're working on 👇👇👇 https://t.co/clqxork7DP",The video in question happened in Israel as reported by BBC who; sought UN's spokespersons comment on the gross misconduct.  https://www.bbc.com/news/53191444  ,R
1.90523E+18,1.90645E+18,"🚨 SIGNAL SCANDAL:  Katherine Maher, the leftist NPR CEO, is currently the Chair of the Board of Signal!

WHAT ARE THE ODDS? https://t.co/jWNTeAt3Jz","Context: The odds could be extremely high or low, depending on the specific variable being implied.    https://en.m.wikipedia.org/wiki/Odds",R
1.8919E+18,1.89203E+18,"Projected DOGE savings now near $110 billion, or over $700 per American taxpayer.

And we're just getting started... https://t.co/U2Jj77FcJv",The figure under “D.O.G.E. CLOCK” on usdebtclock.org is not a tally of actual savings achieved by @DOGE.  It is how much DOGE would have needed to save by now to meet their stated goal of saving $4 billion per day.  https://www.usdebtclock.org/sources/Doge-Clock.jpg    DOGE’s own estimate is only $55 billion and is inaccurate.  https://doge.gov/savings  https://x.com/electricfutures/status/1891898336208105676,R
1.69634E+18,1.69639E+18,"If this is photoshopped, community notes will say so. I honestly don’t know if it is, or isn’t. https://t.co/SI4SjYS7AW","The Fox News photo is real, but the tagline has been digitally altered.     The actual caption reads “UNC police release picture of person of interest”, and describe the suspect as an “Asian male with close cropped hair”.     https://www.foxnews.com/us/unc-chapel-hill-police-reports-shot-fired-lab-building  https://youtu.be/c6famkftt6Q?si=x8tCQ__Krfllgt0I",R
1.64615E+18,1.64629E+18,Ukrainian president Volodymyr Zelenskiy compared Russia to the Islamic state after a video emerged allegedly showing Russian soldiers beheading a captive with a knife https://t.co/RkSFjUh485 https://t.co/5Z3oszFebG,The tweet is the summary of the embedded video.,A
1.94477E+18,1.9448E+18,"Since 2007, GDP per capita has grown by 10.5% in Scotland, compared to 6.3% UK-wide. Scotland can and will be a successful independent nation.","From the Office for National Statistics:  England: £40,382  Scotland: £37,192  That means Scotland’s GDP per person is around £3,200 less than England’s in the most recent available data.  Source: ONS https://tinyurl.com/4y9aatdd",L
1.70113E+18,1.70124E+18,"Civil servants were ‘in tears’ after Brexit vote, says Lord McDonald 

They have never been impartial and its no shock to see the civil servants crying 

Most of them are Oxbridge educated mummies boys who are repulsed by the working class",There is no reporting on the % of civil servants went to Oxbridge. Most implies 260k+ Civil Servants are Oxbridge graduates. This is 100% of all graduates over a 10yr period. In reality 6.7% of Cambridge &amp; 2.1% of Oxford graduates go into civil service.   1850pa out of 500k  shorturl.at/hEUW7   shorturl.at/dn135 ,R
1.69231E+18,1.69237E+18,JUST IN - Hunter Biden tax charges dismissed by federal judge in Biden's home state Delaware https://t.co/rHv0zQu7pW,NNN. Post is correct and context is found in the attached image. https://communitynotes.twitter.com/guide/en/contributing/examples,A
1.38859E+18,1.3887E+18,"I didn’t expect to get asked this on my Saturday morning coffee run, but I’m clear about where I stand. It’s an issue of fairness and we need to protect girls’ sports in our schools.

https://t.co/YODLDQ3csP","According to various articles including one linked from Scientific American, trans girls have no unique advantage in sports https://www.scientificamerican.com/article/trans-girls-belong-on-girls-sports-teams/",R
1.88296E+18,1.88311E+18,"🚨FAKE NEWS from NBC: White House Officials confirmed to me moments ago that Mexico accepted 4 illegal alien deportation flights yesterday. 

Mexico has also accepted tens of thousands of land returns on roadway and on foot.

This is FAKE NEWS and needs a correction immediately. https://t.co/5W32vSBKx5",A White House official said in a text message that “the flights thing was an administrative issue and was quickly rectified.”    https://www.nbcnews.com/politics/immigration/mexico-refuses-accept-us-deportation-flight-rcna189182    The WH press secretary confirmed that 4 deportation flights had landed in Mexico    https://x.com/presssec/status/1882979402176503888,R
1.69947E+18,1.6995E+18,"❌ We are witnessing a radical change in the circumstances &amp; Washington's attempts to undermine fundamental principles &amp; understandings underlying #START Treaty.

☝️ We will continue to exchange notifications on ICBM &amp; SLBM launches w the US.

🔗 https://t.co/eeValWQbzF

#UNGA78 https://t.co/qNQbjtjT5i","Analysts say Russia's move means it will become more difficult to verify continued compliance with the treaty.    In his speech which announced the suspension, Putin referred to NATO support for Ukraine, and claimed the West was seeking a “strategic defeat” of Russia.    https://www.reuters.com/world/europe/putin-russia-suspends-participation-last-remaining-nuclear-treaty-with-us-2023-02-21/    https://www.theguardian.com/world/2023/feb/21/putin-russia-halt-participation-new-start-nuclear-arms-treaty    https://carnegieendowment.org/2023/02/28/method-behind-putin-s-new-start-madness-pub-89161    https://twitter.com/baklitskiy/status/1627982732935536641?s=20",R
1.88324E+18,1.88335E+18,"🚨 NEW: A major MRP survey shows most Brits back closer arrangements with the EU rather than more transatlantic trade with America

[@guardian / @YouGov] https://t.co/MPI4JC348e","NNN, the poll is from an article published on Jan 25th (so new), the CN provides no link to support their claim.     Although DJT wasnt in office at the time the poll was carried out he was president-elect ",A
